Maintenanceorder_no,Functional_location,Maintenanceorder_description,Date_closed,Completed_responses
4000442299,RSV022,WEK3,2022-01-04 03:10:00,"{""tyre_wear.eca1.bogie1.bogie_sn"":""224"",""tyre_wear.eca1.bogie1.gearbox.bottom.groove1"":""4.0"",""tyre_wear.eca1.bogie1.gearbox.bottom.groove5"":""4.0"",""tyre_wear.eca1.bogie1.gearbox.right.groove1"":""5.0"",""tyre_wear.eca1.bogie1.gearbox.right.groove5"":""5.0"",""tyre_wear.eca1.bogie1.gearbox.left.groove1"":""5.5"",""tyre_wear.eca1.bogie1.gearbox.left.groove5"":""5.5"",""tyre_wear.eca1.bogie1.load_wheel.a.groove1"":""8.0"",""tyre_wear.eca1.bogie1.load_wheel.a.groove2"":""8.0"",""tyre_wear.eca1.bogie1.load_wheel.a.groove6"":""8.0"",""tyre_wear.eca1.bogie1.load_wheel.a.groove7"":""8.0"",""tyre_wear.eca1.bogie1.load_wheel.b.groove1"":""8.0"",""tyre_wear.eca1.bogie1.load_wheel.b.groove2"":""8.0"",""tyre_wear.eca1.bogie1.load_wheel.b.groove6"":""8.0"",""tyre_wear.eca1.bogie1.load_wheel.b.groove7"":""8.0"",""tyre_wear.eca1.bogie1.brake.left.groove1"":""4.0"",""tyre_wear.eca1.bogie1.brake.left.groove5"":""4.0"",""tyre_wear.eca1.bogie1.brake.right.groove1"":""4.5"",""tyre_wear.eca1.bogie1.brake.right.groove5"":""4.5"",""tyre_wear.eca1.bogie1.brake.bottom.groove1"":""2.5"",""tyre_wear.eca1.bogie1.brake.bottom.groove5"":""2.5"",""tyre_wear.eca1.bogie2.bogie_sn"":""209"",""tyre_wear.eca1.bogie2.brake.bottom.groove1"":""5.5"",""tyre_wear.eca1.bogie2.brake.bottom.groove5"":""5.5"",""tyre_wear.eca1.bogie2.brake.right.groove1"":""6.0"",""tyre_wear.eca1.bogie2.brake.right.groove5"":""6.0"",""tyre_wear.eca1.bogie2.brake.left.groove1"":""2.5"",""tyre_wear.eca1.bogie2.brake.left.groove5"":""2.5"",""tyre_wear.eca1.bogie2.load_wheel.a.groove1"":""7.5"",""tyre_wear.eca1.bogie2.load_wheel.a.groove2"":""7.0"",""tyre_wear.eca1.bogie2.load_wheel.a.groove6"":""8.0"",""tyre_wear.eca1.bogie2.load_wheel.a.groove7"":""8.0"",""tyre_wear.eca1.bogie2.load_wheel.b.groove1"":""8.0"",""tyre_wear.eca1.bogie2.load_wheel.b.groove2"":""8.0"",""tyre_wear.eca1.bogie2.load_wheel.b.groove6"":""8.0"",""tyre_wear.eca1.bogie2.load_wheel.b.groove7"":""8.0"",""tyre_wear.eca1.bogie2.gearbox.left.groove1"":""6.0"",""tyre_wear.eca1.bogie2.gearbox.left.groove5"":""6.0"",""tyre_wear.eca1.bogie2.gearbox.right.groove1"":""6.0"",""tyre_wear.eca1.bogie2.gearbox.right.groove5"":""6.0"",""tyre_wear.eca1.bogie2.gearbox.bottom.groove1"":""3.5"",""tyre_wear.eca1.bogie2.gearbox.bottom.groove5"":""4.0"",""tyre_wear.ica2.bogie1.bogie_sn"":""247"",""tyre_wear.ica2.bogie3.gearbox.bottom.groove1"":""6.0"",""tyre_wear.ica2.bogie3.gearbox.bottom.groove5"":""6.0"",""tyre_wear.ica2.bogie3.gearbox.right.groove1"":""6.0"",""tyre_wear.ica2.bogie3.gearbox.right.groove5"":""6.0"",""tyre_wear.ica2.bogie3.gearbox.left.groove1"":""6.0"",""tyre_wear.ica2.bogie3.gearbox.left.groove5"":""6.0"",""tyre_wear.ica2.bogie3.load_wheel.a.groove1"":""8.0"",""tyre_wear.ica2.bogie3.load_wheel.a.groove2"":""8.0"",""tyre_wear.ica2.bogie3.load_wheel.a.groove6"":""8.0"",""tyre_wear.ica2.bogie3.load_wheel.a.groove7"":""6.0"",""tyre_wear.ica2.bogie3.load_wheel.b.groove1"":""8.0"",""tyre_wear.ica2.bogie3.load_wheel.b.groove2"":""8.0"",""tyre_wear.ica2.bogie3.load_wheel.b.groove6"":""8.0"",""tyre_wear.ica2.bogie3.load_wheel.b.groove7"":""8.0"",""tyre_wear.ica2.bogie3.brake.left.groove1"":""6.0"",""tyre_wear.ica2.bogie3.brake.left.groove5"":""6.0"",""tyre_wear.ica2.bogie3.brake.right.groove1"":""5.0"",""tyre_wear.ica2.bogie3.brake.right.groove5"":""5.0"",""tyre_wear.ica2.bogie3.brake.bottom.groove1"":""3.0"",""tyre_wear.ica2.bogie3.brake.bottom.groove5"":""3.0"",""tyre_wear.ica2.bogie2.bogie_sn"":""230"",""tyre_wear.ica2.bogie4.brake.bottom.groove1"":""2.5"",""tyre_wear.ica2.bogie4.brake.bottom.groove5"":""2.5"",""tyre_wear.ica2.bogie4.brake.right.groove1"":""2.5"",""tyre_wear.ica2.bogie4.brake.right.groove5"":""2.5"",""tyre_wear.ica2.bogie4.brake.left.groove1"":""5.5"",""tyre_wear.ica2.bogie4.brake.left.groove5"":""5.5"",""tyre_wear.ica2.bogie4.load_wheel.a.groove1"":""7.5"",""tyre_wear.ica2.bogie4.load_wheel.a.groove2"":""7.0"",""tyre_wear.ica2.bogie4.load_wheel.a.groove6"":""7.5"",""tyre_wear.ica2.bogie4.load_wheel.a.groove7"":""7.5"",""tyre_wear.ica2.bogie4.load_wheel.b.groove1"":""7.5"",""tyre_wear.ica2.bogie4.load_wheel.b.groove2"":""7.0"",""tyre_wear.ica2.bogie4.load_wheel.b.groove6"":""8.0"",""tyre_wear.ica2.bogie4.load_wheel.b.groove7"":""8.0"",""tyre_wear.ica2.bogie4.gearbox.left.groove1"":""6.0"",""tyre_wear.ica2.bogie4.gearbox.left.groove5"":""6.0"",""tyre_wear.ica2.bogie4.gearbox.right.groove1"":""4.0"",""tyre_wear.ica2.bogie4.gearbox.right.groove5"":""4.0"",""tyre_wear.ica2.bogie4.gearbox.bottom.groove1"":""5.0"",""tyre_wear.ica2.bogie4.gearbox.bottom.groove5"":""5.5"",""tyre_wear.ica3.bogie1.bogie_sn"":""232"",""tyre_wear.ica3.bogie5.gearbox.bottom.groove1"":""6.0"",""tyre_wear.ica3.bogie5.gearbox.bottom.groove5"":""6.5"",""tyre_wear.ica3.bogie5.gearbox.right.groove1"":""5.0"",""tyre_wear.ica3.bogie5.gearbox.right.groove5"":""5.0"",""tyre_wear.ica3.bogie5.gearbox.left.groove1"":""5.5"",""tyre_wear.ica3.bogie5.gearbox.left.groove5"":""5.0"",""tyre_wear.ica3.bogie5.load_wheel.a.groove1"":""8.5"",""tyre_wear.ica3.bogie5.load_wheel.a.groove2"":""8.5"",""tyre_wear.ica3.bogie5.load_wheel.a.groove6"":""8.5"",""tyre_wear.ica3.bogie5.load_wheel.a.groove7"":""8.5"",""tyre_wear.ica3.bogie5.load_wheel.b.groove1"":""8.5"",""tyre_wear.ica3.bogie5.load_wheel.b.groove2"":""8.5"",""tyre_wear.ica3.bogie5.load_wheel.b.groove6"":""8.5"",""tyre_wear.ica3.bogie5.load_wheel.b.groove7"":""8.5"",""tyre_wear.ica3.bogie5.brake.left.groove1"":""3.0"",""tyre_wear.ica3.bogie5.brake.left.groove5"":""3.0"",""tyre_wear.ica3.bogie5.brake.right.groove1"":""4.5"",""tyre_wear.ica3.bogie5.brake.right.groove5"":""4.5"",""tyre_wear.ica3.bogie5.brake.bottom.groove1"":""5.5"",""tyre_wear.ica3.bogie5.brake.bottom.groove5"":""5.5"",""tyre_wear.ica3.bogie2.bogie_sn"":""250"",""tyre_wear.ica3.bogie6.brake.bottom.groove1"":""5.5"",""tyre_wear.ica3.bogie6.brake.bottom.groove5"":""5.5"",""tyre_wear.ica3.bogie6.brake.right.groove1"":""6.0"",""tyre_wear.ica3.bogie6.brake.right.groove5"":""6.0"",""tyre_wear.ica3.bogie6.brake.left.groove1"":""6.0"",""tyre_wear.ica3.bogie6.brake.left.groove5"":""6.0"",""tyre_wear.ica3.bogie6.load_wheel.a.groove1"":""8.5"",""tyre_wear.ica3.bogie6.load_wheel.a.groove2"":""8.5"",""tyre_wear.ica3.bogie6.load_wheel.a.groove6"":""8.5"",""tyre_wear.ica3.bogie6.load_wheel.a.groove7"":""8.5"",""tyre_wear.ica3.bogie6.load_wheel.b.groove1"":""8.5"",""tyre_wear.ica3.bogie6.load_wheel.b.groove2"":""8.5"",""tyre_wear.ica3.bogie6.load_wheel.b.groove6"":""8.5"",""tyre_wear.ica3.bogie6.load_wheel.b.groove7"":""8.5"",""tyre_wear.ica3.bogie6.gearbox.left.groove1"":""2.5"",""tyre_wear.ica3.bogie6.gearbox.left.groove5"":""3.0"",""tyre_wear.ica3.bogie6.gearbox.right.groove1"":""4.0"",""tyre_wear.ica3.bogie6.gearbox.right.groove5"":""4.5"",""tyre_wear.ica3.bogie6.gearbox.bottom.groove1"":""6.0"",""tyre_wear.ica3.bogie6.gearbox.bottom.groove5"":""6.0"",""tyre_wear.eca4.bogie1.bogie_sn"":""202"",""tyre_wear.eca4.bogie7.gearbox.bottom.groove1"":""3.0"",""tyre_wear.eca4.bogie7.gearbox.bottom.groove5"":""3.0"",""tyre_wear.eca4.bogie7.gearbox.right.groove1"":""6.0"",""tyre_wear.eca4.bogie7.gearbox.right.groove5"":""6.0"",""tyre_wear.eca4.bogie7.gearbox.left.groove1"":""6.0"",""tyre_wear.eca4.bogie7.gearbox.left.groove5"":""6.0"",""tyre_wear.eca4.bogie7.load_wheel.a.groove1"":""4.0"",""tyre_wear.eca4.bogie7.load_wheel.a.groove2"":""4.0"",""tyre_wear.eca4.bogie7.load_wheel.a.groove6"":""5.0"",""tyre_wear.eca4.bogie7.load_wheel.a.groove7"":""5.0"",""tyre_wear.eca4.bogie7.load_wheel.b.groove1"":""4.5"",""tyre_wear.eca4.bogie7.load_wheel.b.groove2"":""4.0"",""tyre_wear.eca4.bogie7.load_wheel.b.groove6"":""4.5"",""tyre_wear.eca4.bogie7.load_wheel.b.groove7"":""5.0"",""tyre_wear.eca4.bogie7.brake.left.groove1"":""2.8"",""tyre_wear.eca4.bogie7.brake.left.groove5"":""2.5"",""tyre_wear.eca4.bogie7.brake.right.groove1"":""6.0"",""tyre_wear.eca4.bogie7.brake.right.groove5"":""6.0"",""tyre_wear.eca4.bogie7.brake.bottom.groove1"":""4.0"",""tyre_wear.eca4.bogie7.brake.bottom.groove5"":""4.0"",""tyre_wear.eca4.bogie2.bogie_sn"":""208"",""tyre_wear.eca4.bogie8.brake.bottom.groove1"":""3.0"",""tyre_wear.eca4.bogie8.brake.bottom.groove5"":""3.0"",""tyre_wear.eca4.bogie8.brake.right.groove1"":""6.0"",""tyre_wear.eca4.bogie8.brake.right.groove5"":""6.0"",""tyre_wear.eca4.bogie8.brake.left.groove1"":""3.0"",""tyre_wear.eca4.bogie8.brake.left.groove5"":""3.0"",""tyre_wear.eca4.bogie8.load_wheel.a.groove1"":""8.0"",""tyre_wear.eca4.bogie8.load_wheel.a.groove2"":""8.0"",""tyre_wear.eca4.bogie8.load_wheel.a.groove6"":""8.5"",""tyre_wear.eca4.bogie8.load_wheel.a.groove7"":""8.5"",""tyre_wear.eca4.bogie8.load_wheel.b.groove1"":""8.5"",""tyre_wear.eca4.bogie8.load_wheel.b.groove2"":""8.5"",""tyre_wear.eca4.bogie8.load_wheel.b.groove6"":""8.5"",""tyre_wear.eca4.bogie8.load_wheel.b.groove7"":""8.5"",""tyre_wear.eca4.bogie8.gearbox.left.groove1"":""6.0"",""tyre_wear.eca4.bogie8.gearbox.left.groove5"":""6.0"",""tyre_wear.eca4.bogie8.gearbox.right.groove1"":""6.0"",""tyre_wear.eca4.bogie8.gearbox.right.groove5"":""6.0"",""tyre_wear.eca4.bogie8.gearbox.bottom.groove1"":""6.5"",""tyre_wear.eca4.bogie8.gearbox.bottom.groove5"":""6.5"",""tyre_wear.approval_date"":""03/01/2022"",""tyre_wear.technician_id"":""7202,7202"",""tyre_wear.supervisor_id"":""7196""}"
4000442380,RSV011,WEK3,,{}
4000442442,RSV023,WEK3,2022-01-15 04:30:00,"{""tyre_wear.eca1.bogie1.bogie_sn"":""254"",""tyre_wear.eca1.bogie1.gearbox.bottom.groove1"":""6.0"",""tyre_wear.eca1.bogie1.gearbox.bottom.groove5"":""5.0"",""tyre_wear.eca1.bogie1.gearbox.right.groove1"":""6.0"",""tyre_wear.eca1.bogie1.gearbox.right.groove5"":""6.0"",""tyre_wear.eca1.bogie1.gearbox.left.groove1"":""6.0"",""tyre_wear.eca1.bogie1.gearbox.left.groove5"":""6.0"",""tyre_wear.eca1.bogie1.load_wheel.a.groove1"":""7.5"",""tyre_wear.eca1.bogie1.load_wheel.a.groove2"":""7.5"",""tyre_wear.eca1.bogie1.load_wheel.a.groove6"":""8.0"",""tyre_wear.eca1.bogie1.load_wheel.a.groove7"":""8.5"",""tyre_wear.eca1.bogie1.load_wheel.b.groove1"":""8.5"",""tyre_wear.eca1.bogie1.load_wheel.b.groove2"":""8.0"",""tyre_wear.eca1.bogie1.load_wheel.b.groove6"":""7.5"",""tyre_wear.eca1.bogie1.load_wheel.b.groove7"":""7.5"",""tyre_wear.eca1.bogie1.brake.left.groove1"":""6.0"",""tyre_wear.eca1.bogie1.brake.left.groove5"":""5.0"",""tyre_wear.eca1.bogie1.brake.right.groove1"":""6.0"",""tyre_wear.eca1.bogie1.brake.right.groove5"":""5.0"",""tyre_wear.eca1.bogie1.brake.bottom.groove1"":""6.0"",""tyre_wear.eca1.bogie1.brake.bottom.groove5"":""6.0"",""tyre_wear.eca1.bogie2.bogie_sn"":""211"",""tyre_wear.eca1.bogie2.brake.bottom.groove1"":""6.0"",""tyre_wear.eca1.bogie2.brake.bottom.groove5"":""5.0"",""tyre_wear.eca1.bogie2.brake.right.groove1"":""6.0"",""tyre_wear.eca1.bogie2.brake.right.groove5"":""5.0"",""tyre_wear.eca1.bogie2.brake.left.groove1"":""6.0"",""tyre_wear.eca1.bogie2.brake.left.groove5"":""5.0"",""tyre_wear.eca1.bogie2.load_wheel.a.groove1"":""5.5"",""tyre_wear.eca1.bogie2.load_wheel.a.groove2"":""4.5"",""tyre_wear.eca1.bogie2.load_wheel.a.groove6"":""5.0"",""tyre_wear.eca1.bogie2.load_wheel.a.groove7"":""6.0"",""tyre_wear.eca1.bogie2.load_wheel.b.groove1"":""5.5"",""tyre_wear.eca1.bogie2.load_wheel.b.groove2"":""6.0"",""tyre_wear.eca1.bogie2.load_wheel.b.groove6"":""6.0"",""tyre_wear.eca1.bogie2.load_wheel.b.groove7"":""5.5"",""tyre_wear.eca1.bogie2.gearbox.left.groove1"":""6.0"",""tyre_wear.eca1.bogie2.gearbox.left.groove5"":""5.0"",""tyre_wear.eca1.bogie2.gearbox.right.groove1"":""4.0"",""tyre_wear.eca1.bogie2.gearbox.right.groove5"":""4.0"",""tyre_wear.eca1.bogie2.gearbox.bottom.groove1"":""6.0"",""tyre_wear.eca1.bogie2.gearbox.bottom.groove5"":""6.0"",""tyre_wear.ica2.bogie1.bogie_sn"":""222"",""tyre_wear.ica2.bogie3.gearbox.bottom.groove1"":""6.0"",""tyre_wear.ica2.bogie3.gearbox.bottom.groove5"":""5.0"",""tyre_wear.ica2.bogie3.gearbox.right.groove1"":""6.0"",""tyre_wear.ica2.bogie3.gearbox.right.groove5"":""5.0"",""tyre_wear.ica2.bogie3.gearbox.left.groove1"":""5.0"",""tyre_wear.ica2.bogie3.gearbox.left.groove5"":""4.0"",""tyre_wear.ica2.bogie3.load_wheel.a.groove1"":""8.5"",""tyre_wear.ica2.bogie3.load_wheel.a.groove2"":""8.5"",""tyre_wear.ica2.bogie3.load_wheel.a.groove6"":""8.5"",""tyre_wear.ica2.bogie3.load_wheel.a.groove7"":""8.5"",""tyre_wear.ica2.bogie3.load_wheel.b.groove1"":""8.5"",""tyre_wear.ica2.bogie3.load_wheel.b.groove2"":""8.5"",""tyre_wear.ica2.bogie3.load_wheel.b.groove6"":""8.5"",""tyre_wear.ica2.bogie3.load_wheel.b.groove7"":""8.5"",""tyre_wear.ica2.bogie3.brake.left.groove1"":""4.0"",""tyre_wear.ica2.bogie3.brake.left.groove5"":""4.0"",""tyre_wear.ica2.bogie3.brake.right.groove1"":""6.0"",""tyre_wear.ica2.bogie3.brake.right.groove5"":""4.0"",""tyre_wear.ica2.bogie3.brake.bottom.groove1"":""6.0"",""tyre_wear.ica2.bogie3.brake.bottom.groove5"":""6.0"",""tyre_wear.ica2.bogie2.bogie_sn"":""212"",""tyre_wear.ica2.bogie4.brake.bottom.groove1"":""6.0"",""tyre_wear.ica2.bogie4.brake.bottom.groove5"":""6.0"",""tyre_wear.ica2.bogie4.brake.right.groove1"":""5.0"",""tyre_wear.ica2.bogie4.brake.right.groove5"":""4.0"",""tyre_wear.ica2.bogie4.brake.left.groove1"":""5.0"",""tyre_wear.ica2.bogie4.brake.left.groove5"":""4.0"",""tyre_wear.ica2.bogie4.load_wheel.a.groove1"":""5.5"",""tyre_wear.ica2.bogie4.load_wheel.a.groove2"":""5.5"",""tyre_wear.ica2.bogie4.load_wheel.a.groove6"":""8.5"",""tyre_wear.ica2.bogie4.load_wheel.a.groove7"":""8.5"",""tyre_wear.ica2.bogie4.load_wheel.b.groove1"":""8.5"",""tyre_wear.ica2.bogie4.load_wheel.b.groove2"":""8.5"",""tyre_wear.ica2.bogie4.load_wheel.b.groove6"":""8.5"",""tyre_wear.ica2.bogie4.load_wheel.b.groove7"":""8.5"",""tyre_wear.ica2.bogie4.gearbox.left.groove1"":""6.0"",""tyre_wear.ica2.bogie4.gearbox.left.groove5"":""5.0"",""tyre_wear.ica2.bogie4.gearbox.right.groove1"":""6.0"",""tyre_wear.ica2.bogie4.gearbox.right.groove5"":""5.0"",""tyre_wear.ica2.bogie4.gearbox.bottom.groove1"":""6.0"",""tyre_wear.ica2.bogie4.gearbox.bottom.groove5"":""6.0"",""tyre_wear.ica3.bogie1.bogie_sn"":""213"",""tyre_wear.ica3.bogie5.gearbox.bottom.groove1"":""6.0"",""tyre_wear.ica3.bogie5.gearbox.bottom.groove5"":""6.0"",""tyre_wear.ica3.bogie5.gearbox.right.groove1"":""4.0"",""tyre_wear.ica3.bogie5.gearbox.right.groove5"":""4.0"",""tyre_wear.ica3.bogie5.gearbox.left.groove1"":""4.0"",""tyre_wear.ica3.bogie5.gearbox.left.groove5"":""4.0"",""tyre_wear.ica3.bogie5.load_wheel.a.groove1"":""5.0"",""tyre_wear.ica3.bogie5.load_wheel.a.groove2"":""5.5"",""tyre_wear.ica3.bogie5.load_wheel.a.groove6"":""4.5"",""tyre_wear.ica3.bogie5.load_wheel.a.groove7"":""4.5"",""tyre_wear.ica3.bogie5.load_wheel.b.groove1"":""5.0"",""tyre_wear.ica3.bogie5.load_wheel.b.groove2"":""5.0"",""tyre_wear.ica3.bogie5.load_wheel.b.groove6"":""5.5"",""tyre_wear.ica3.bogie5.load_wheel.b.groove7"":""4.5"",""tyre_wear.ica3.bogie5.brake.left.groove1"":""6.0"",""tyre_wear.ica3.bogie5.brake.left.groove5"":""6.0"",""tyre_wear.ica3.bogie5.brake.right.groove1"":""6.0"",""tyre_wear.ica3.bogie5.brake.right.groove5"":""6.0"",""tyre_wear.ica3.bogie5.brake.bottom.groove1"":""6.0"",""tyre_wear.ica3.bogie5.brake.bottom.groove5"":""6.0"",""tyre_wear.ica3.bogie2.bogie_sn"":""206"",""tyre_wear.ica3.bogie6.brake.bottom.groove1"":""4.0"",""tyre_wear.ica3.bogie6.brake.bottom.groove5"":""4.0"",""tyre_wear.ica3.bogie6.brake.right.groove1"":""4.0"",""tyre_wear.ica3.bogie6.brake.right.groove5"":""3.0"",""tyre_wear.ica3.bogie6.brake.left.groove1"":""4.0"",""tyre_wear.ica3.bogie6.brake.left.groove5"":""2.0"",""tyre_wear.ica3.bogie6.load_wheel.a.groove1"":""7.0"",""tyre_wear.ica3.bogie6.load_wheel.a.groove2"":""6.5"",""tyre_wear.ica3.bogie6.load_wheel.a.groove6"":""6.5"",""tyre_wear.ica3.bogie6.load_wheel.a.groove7"":""7.5"",""tyre_wear.ica3.bogie6.load_wheel.b.groove1"":""7.0"",""tyre_wear.ica3.bogie6.load_wheel.b.groove2"":""7.5"",""tyre_wear.ica3.bogie6.load_wheel.b.groove6"":""7.0"",""tyre_wear.ica3.bogie6.load_wheel.b.groove7"":""7.5"",""tyre_wear.ica3.bogie6.gearbox.left.groove1"":""6.0"",""tyre_wear.ica3.bogie6.gearbox.left.groove5"":""6.0"",""tyre_wear.ica3.bogie6.gearbox.right.groove1"":""6.0"",""tyre_wear.ica3.bogie6.gearbox.right.groove5"":""6.0"",""tyre_wear.ica3.bogie6.gearbox.bottom.groove1"":""6.0"",""tyre_wear.ica3.bogie6.gearbox.bottom.groove5"":""6.0"",""tyre_wear.eca4.bogie1.bogie_sn"":""220"",""tyre_wear.eca4.bogie7.gearbox.bottom.groove1"":""4.0"",""tyre_wear.eca4.bogie7.gearbox.bottom.groove5"":""3.0"",""tyre_wear.eca4.bogie7.gearbox.right.groove1"":""4.0"",""tyre_wear.eca4.bogie7.gearbox.right.groove5"":""5.0"",""tyre_wear.eca4.bogie7.gearbox.left.groove1"":""4.0"",""tyre_wear.eca4.bogie7.gearbox.left.groove5"":""5.0"",""tyre_wear.eca4.bogie7.load_wheel.a.groove1"":""8.5"",""tyre_wear.eca4.bogie7.load_wheel.a.groove2"":""8.5"",""tyre_wear.eca4.bogie7.load_wheel.a.groove6"":""8.5"",""tyre_wear.eca4.bogie7.load_wheel.a.groove7"":""8.5"",""tyre_wear.eca4.bogie7.load_wheel.b.groove1"":""8.5"",""tyre_wear.eca4.bogie7.load_wheel.b.groove2"":""8.5"",""tyre_wear.eca4.bogie7.load_wheel.b.groove6"":""8.5"",""tyre_wear.eca4.bogie7.load_wheel.b.groove7"":""8.5"",""tyre_wear.eca4.bogie7.brake.left.groove1"":""6.0"",""tyre_wear.eca4.bogie7.brake.left.groove5"":""5.0"",""tyre_wear.eca4.bogie7.brake.right.groove1"":""6.0"",""tyre_wear.eca4.bogie7.brake.right.groove5"":""4.0"",""tyre_wear.eca4.bogie7.brake.bottom.groove1"":""6.0"",""tyre_wear.eca4.bogie7.brake.bottom.groove5"":""6.0"",""tyre_wear.eca4.bogie2.bogie_sn"":""253"",""tyre_wear.eca4.bogie8.brake.bottom.groove1"":""6.0"",""tyre_wear.eca4.bogie8.brake.bottom.groove5"":""4.0"",""tyre_wear.eca4.bogie8.brake.right.groove1"":""4.0"",""tyre_wear.eca4.bogie8.brake.right.groove5"":""4.0"",""tyre_wear.eca4.bogie8.brake.left.groove1"":""6.0"",""tyre_wear.eca4.bogie8.brake.left.groove5"":""5.0"",""tyre_wear.eca4.bogie8.load_wheel.a.groove1"":""5.5"",""tyre_wear.eca4.bogie8.load_wheel.a.groove2"":""4.5"",""tyre_wear.eca4.bogie8.load_wheel.a.groove6"":""5.0"",""tyre_wear.eca4.bogie8.load_wheel.a.groove7"":""4.5"",""tyre_wear.eca4.bogie8.load_wheel.b.groove1"":""3.5"",""tyre_wear.eca4.bogie8.load_wheel.b.groove2"":""3.5"",""tyre_wear.eca4.bogie8.load_wheel.b.groove6"":""3.0"",""tyre_wear.eca4.bogie8.load_wheel.b.groove7"":""5.0"",""tyre_wear.eca4.bogie8.gearbox.left.groove1"":""6.0"",""tyre_wear.eca4.bogie8.gearbox.left.groove5"":""6.0"",""tyre_wear.eca4.bogie8.gearbox.right.groove1"":""6.0"",""tyre_wear.eca4.bogie8.gearbox.right.groove5"":""5.0"",""tyre_wear.eca4.bogie8.gearbox.bottom.groove1"":""6.0"",""tyre_wear.eca4.bogie8.gearbox.bottom.groove5"":""6.0"",""tyre_wear.approval_date"":""14/01/2022"",""tyre_wear.technician_id"":""9435,11515"",""tyre_wear.supervisor_id"":""7192""}"
