system|sub_system|sub_sub_system|department
SWITCH 7 & 8|Fallback Control Panel|Contactor (KM1, KM2) Brand : TELEMECANIQUE LC1D50A Specifications : 3 Pole 50A 24 VDC 1NO/NC Aux (Attach Brpa volt Contactor)|TNMD
SWITCH 7 & 8|Fallback Control Panel|Zelio Control Voltage Measurement Relay (VVR1) Brand : TELEMECANIQUE Specifications : Over/Under Voltage 50-500Vac 1-30s (Detail Model)|TNMD
SWITCH 7 & 8|Fallback Control Panel|Overload Relay (QM1, QM2) Brand : TELEMECANIQUE LRD 06 Specifications: : 4A TeSys D Class 20 1NO/NC Aux|TNMD
SWITCH 7 & 8|Fallback Control Panel|Contactor Brand : TELEMECANIQUE Specifications: 3 Pole 6A 24VDC 1NC Aux (Pic Atas & Bwh Barang x sama) (Attach Detail)|TNMD
SWITCH 7 & 8|Fallback Control Panel|Contactor Brand : TELEMECANIQUE Specifications: 3 Pole 6A 24VDC 1NC Aux (Pic Atas & Bwh Barang x sama) (Attach Detail)|TNMD
SWITCH 7 & 8|Fallback Control Panel|Contactor Brand : TELEMECANIQUE Specifications: 3 Pole 6A 24VDC 1NC Aux (Pic Atas & Bwh Barang x sama) (Attach Detail)|TNMD
SWITCH 7 & 8|Winch Assembly|3 Phase Motor SEW-EURODRIVE DRN160L4/BE20HR/FG/C 50 Hz 15kW 1474 r/min|TNMD
SWITCH 7 & 8|Winch Assembly|Rotary Limit Switch (Attach Detail)|TNMD
SWITCH 7 & 8|Winch Assembly|Brake Motor|TNMD
SWITCH 7 & 8|Winch Assembly|Winch Drum|TNMD
SWITCH 7 & 8|VFD/Inverter Motor|Variable Speed Drive / Variable Frequency Drive Brand : ABB Specifications: (Attach Detail)|TNMD
SWITCH 7 & 8|P.L.C|PLC-Power Supply Unit (PSU) (Attach Detail)|TNMD
SWITCH 7 & 8|P.L.C|PLC-Central Processing Unit (CPU) (Attach Detail)|TNMD
SWITCH 7 & 8|P.L.C|PLC-Digital Input (DI 1 DI 2) (Attach Detail)|TNMD
SWITCH 7 & 8|P.L.C|PLC-Digital Output (DO 1 DO 2) (Attach Detail)|TNMD
SWITCH 7 & 8|P.L.C|PLC-Failsafe Digital Inputs (FDI) (Attach Detail)|TNMD
SWITCH 7 & 8|P.L.C|PLC-Failsafe Digital Outputs (FDO) Brand : Siemens Serial.no : 6ES7 326 -2BF01-0AB0|TNMD
SWITCH 7 & 8|P.L.C|PLC-Failsafe Digital Outputs (FDO) Brand : Siemens Serial.no : 6ES7 326 -2BF01-0AB1|TNMD
SWITCH 7 & 8|P.L.C|PLC-Base Plate|TNMD
SWITCH 7 & 8|Wire rope assembly|Wire Rope Brand : GOFORTH Specifications : Bottom wire rope 3P comes with CROSBY open SWAG (13970mm - length), Top wire rope 3P comes with CROSBY open SWAG (7350 mm - length)|TNMD
SWITCH 7 & 8|Wire rope assembly|Wire Rope Brand : GOFORTH Specifications : Bottom wire rope 3P comes with CROSBY open SWAG (13970mm - length), Top wire rope 3P comes with CROSBY open SWAG (7350 mm - length)|TNMD
SWITCH 7 & 8|Wire rope assembly|Turnbuckle Brand : CROSBY Serial.No : HG 2771-1/4|TNMD
SWITCH 7 & 8|Wire rope assembly|Winch Connecting Plate|TNMD
SWITCH 7 & 8|Wire rope assembly|Winch Roller|TNMD
SWITCH 7 & 8|Wire rope assembly|Return Sheave|TNMD
SWITCH 7 & 8|Guidance truck|Track Roller|TNMD
SWITCH 7 & 8|Guidance truck|Track Roller|TNMD
SWITCH 7 & 8|Guidance truck|Plate Sensor|TNMD
SWITCH 7 & 8|Guidance truck|Proximity Sensor (Attach Model)|TNMD
SWITCH 7 & 8|Guidance truck|Proximity Sensor (Attach Model)|TNMD
SWITCH 7 & 8|Guidance truck|Stopper|TNMD
SWITCH 7 & 8|Inner / Outer link beam|Inner link beam|TNMD
SWITCH 7 & 8|Inner / Outer link beam|Outer link beam|TNMD
Powerrail|Insulator assembly|Insulator|TNMD
Powerrail|Insulator assembly|Support bracket mainline|TNMD
Powerrail|Insulator assembly|Support bracket butterfly (mid angker)|TNMD
Powerrail|Insulator assembly|Support bracket ramp (Angle 3/5 degree)|TNMD
Powerrail|Rail|Cover board|TNMD
Powerrail|Rail|Connection power rail|TNMD
Powerrail|Rail|Expansion joint|TNMD
Powerrail|Electrical Joint|Heavy duty industrial cable lug|TNMD
Powerrail|Electrical Joint|Heavy duty bellmouthed cable lug|TNMD
Powerrail|Electrical Joint|Heavy duty bellmouthed cable lug (Switch)|TNMD
GUIDEWAY BEAM STRUCTURE|Expended Metal|CHECKER PLATE LENGTH 123.5CM x WIDE 245.8CM|TNMD
GUIDEWAY BEAM STRUCTURE|Bridge|Skru Bridge & Nut|TNMD
GUIDEWAY BEAM STRUCTURE|Bracket Horizontal and Vertical|Bracket Horizontal HILTI MQ-41 HDG PLUS C-CHANNEL|TNMD
GUIDEWAY BEAM STRUCTURE|nan|Bracket vertical HILTI MQP-21-72 CHANNEL FOOT|TNMD
GUIDEWAY BEAM STRUCTURE|Expended Metal|Center Walkway (113cm x 125.5cm)|TNMD
GUIDEWAY BEAM|Beam|Expansion joint plate|TNMD
GUIDEWAY BEAM|Beam|Buffer Stop|TNMD
GUIDEWAY BEAM|Finger Plate|Top plate 60mm|TNMD
GUIDEWAY BEAM|Finger Plate|Side plate 60mm|TNMD
GUIDEWAY BEAM|Finger Plate|Top plate 30mm|TNMD
GUIDEWAY BEAM|Finger Plate|Side plate 30mm|TNMD
GUIDEWAY BEAM|Finger Plate|Top plate Scomi|TNMD
GUIDEWAY BEAM|Finger Plate|Side plate Scomi|TNMD
GUIDEWAY BEAM|Earthing plate|Earthing bracket|TNMD
GUIDEWAY BEAM|Earthing plate|Earthing Rail|TNMD
GUIDEWAY BEAM|Earthing plate|Earthing poket|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|METASOL MCCB 15A ABS 33C|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|METASOL MCCB 30A BS 32C|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|METASOL CONTACTOR MC-18A (Coil Brpa Volt)|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|METASOL CONTACTOR MC-22B (Coil Brpa Volt)|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|METASOL CONTACTOR MD-60A DC (Coil Brpa Volt)|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|FUSE HOLDER HY-F15 DC 24V 10A|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|OMRON RELAY 3A MY4N-GS-24 VDC|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|OMRON RELAY 3A MY4N-GS-240 VAC|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|OMRON RELAY 5A G2R-2-SN 24 VDC|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|INVERTER LSLV10075S100-4EXFNS LS S100|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|POWERBANK DV 24V 62.5A MODEL BK 1500-24|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|THERMOSTAT FAN RUN ELECTRIC RTM-90F25 250V 5A|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|FAN NMB 11938KA-24L-EL 0.40A|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|MENNEKES SOCKET 3P+N 32A IP-67 TYPE 5608A|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|SCHNEIDER SOCKET OUTLET 13A TYPE 56C313|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|POWER INVERTER RS PRO DC TO AC 4000W|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|LG DUAL INVERTER AIR CONDITIONER 1HP|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|NETWORK VIDEO RECORDER XRN-8150|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|TES SMART 1X2 SPLITTER|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|NETWORK CAMERA (XNO-6020R) DC12|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|IVIEWKOREA MONITER DISPLAY KCC-REM-IV0-IV IV240|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|METASOL MCCB ABS 202C 150A 1000V|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|METASOL MCCB ABS 52C 50A|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|METASOL MCCB ABS 32C 30A|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|METASOL MCCB ASB 33C 15A|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|METASOL CONTACTOR DC MD100A LS (250Vdc 100A)|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|METASOL CONTACTOR DC MD60A LS (250Vdc 60A)|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|METASOL CONTACTOR MC40A LS (Coil Brpa Volt)|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|METASOL MCCB BS32C 10A|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|METASOL MCB LS 30A|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|METASOL MCB LS 10A|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|METASOL MCB LS 5A|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|TEMPERATURE CONTROLLER AUTONICS TC4S|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|SWITCHING POWER SUPPLY LY2N DC24V|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|SWITCHING POWER SD15 24VDC TO 12VDC|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|TEMPERATURE CONTROLLER AUTONICS MODEL M4T|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|SWITCHING POWER SUPPLY 240AC TO 24VDC DS100|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|XGT PLC EGP-DC24 PROGRAMABLE LOGIC BOARD|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|METASOL MCCB ABS 202C 250A|TNMD
Track Maintenance Vehicle 3|Electrical Appliance|All Sensor Brand Autonic|TNMD
Track Maintenance Vehicle 3|TMV Genset|STARTER GENSET DENSO 12V PART NO. 17381-63015|TNMD
Track Maintenance Vehicle 3|TMV Genset|ALTERNATOR GENSET DENSO 12V 16404 -|TNMD
Track Maintenance Vehicle 3|TMV Genset|GENSET OIL FILTER PART NO. 16414-32433|TNMD
Track Maintenance Vehicle 3|TMV Genset|ENGINE GENSET FAN BELT PART NO. 17123-97012|TNMD
Track Maintenance Vehicle 3|TMV Genset|ENGINE GENSET FUEL FILTER PART NO. 15521-43161|TNMD
Track Maintenance Vehicle 3|Engine System|DIESEL ENGINE MODEL QSM11 10.8L|TNMD
Track Maintenance Vehicle 3|Engine System|ALTERNATOR MMV PRESTOLITE 28V 160A|TNMD
Track Maintenance Vehicle 3|Engine System|STARTER ENGINE PRESTOLITE ELECTRIC 24V 8.5kW|TNMD
Track Maintenance Vehicle 3|Engine System|ENGINE AIR COMPRESSOR MODEL CP2107 BRAND CUMMINS|TNMD
Track Maintenance Vehicle 3|Engine System|ENGINE MMV BELTING BRAND CUMMINS 3290142X-PK1820|TNMD
Track Maintenance Vehicle 3|Engine System|MMV FUEL FILTER FLEETGUARD FS1000 CUMMINS|TNMD
Track Maintenance Vehicle 3|Engine System|MMV OIL FILTER ENGINE FLEETGUARD KF114000NN CUMMINS|TNMD
Track Maintenance Vehicle 3|Engine System|MMV ENGINE COOLANT FILTER FLEETGUARD WF2075 CUMMINS|TNMD
Track Maintenance Vehicle 3|Engine System|DIESEL TANK 600L|TNMD
Track Maintenance Vehicle 3|Engine System|Fuel System 3090942 3417677/Z003 19101 071 CHN|TNMD
Track Maintenance Vehicle 3|Battery|BATTERY GENSET 12V N702L|TNMD
Track Maintenance Vehicle 3|Battery|BATTERY MMV EJ122500 12V250AH|TNMD
Track Maintenance Vehicle 3|Engine Coolant System|ENGINE BUILT IN WATER PUMP - UNKNOWN SPECS|TNMD
Track Maintenance Vehicle 3|Engine Coolant System|RADIATOR AND COOLING FAN - UNKOWN SPECS|TNMD
Track Maintenance Vehicle 3|Engine Coolant System|COOLANT SPARE TANK|TNMD
Track Maintenance Vehicle 3|Engine Coolant System|ENGINE EXHAUST SYSTEM - UKNOWN SPECS|TNMD
Track Maintenance Vehicle 3|Hydraulic Pump|HYDRAULIC DRIVING MOTOR MODEL SAI BVFK3AR-1250|TNMD
Track Maintenance Vehicle 3|Hydraulic Pump|HYDRAULIC PUMP KAWASAKI K5V200DTP|TNMD
Track Maintenance Vehicle 3|Hydraulic Pump|HYDRAULIC PUMP GEARBOX BRAND STIEBEL TYPE 4380.R7.09905|TNMD
Track Maintenance Vehicle 3|Hydraulic Pump|HYDRAULIC MOTOR PUMP BRAND HIGEN 3 PHASE INDUCTION MOTOR KMH-10-H-E8 10HP 7.5kW|TNMD
Track Maintenance Vehicle 3|Hydraulic Pump|HYDRAULIC PUMP BRAND YUKEN A3H16-LR01KK-10|TNMD
Track Maintenance Vehicle 3|Guide Wheel|NEXEN TIRE 4.00-8 MODEL SOUNDPRO|TNMD
Track Maintenance Vehicle 3|Load Wheel|NEXEN TIRE 23X-110-12 8.00G MODEL CBX|TNMD
Track Maintenance Vehicle 3|Vehicle Body|Seat Workcar|TNMD
Track Maintenance Vehicle 3|Vehicle Body|MAIN BODY KSD 3503 ROLLED STEEL MATERIAL SS400|TNMD
Track Maintenance Vehicle 3|Vehicle Body|CHASSIS KSD 3503 ROLLED STEEL MATERIAL SS400 ( Skru Frame Allen Key Size 6)|TNMD
Track Maintenance Vehicle 3|Vehicle Body|WHEEL AXIS KSD 3752 CARBON STEEL MATERIAL SCM440|TNMD
Track Maintenance Vehicle 3|Panel Drive|SAMHO ELECTRONIC ( ENGINE FUEL)|TNMD
Track Maintenance Vehicle 3|Panel Drive|KOINOX NF30-BM3C ( PUSH BUTTON)|TNMD
Track Maintenance Vehicle 3|Panel Drive|DWT-6216 (TOGGLE SWITCH)|TNMD
Track Maintenance Vehicle 3|Panel Drive|DWT-6316MG (TOGGLE SWITCH)|TNMD
Track Maintenance Vehicle 3|Panel Drive|MRA-ARIDOR KTL-SU02033-1400E (EMG BUTTON)|TNMD
Track Maintenance Vehicle 3|Panel Drive|INDICATOR H5X19 85Z03|TNMD
Track Maintenance Vehicle 3|Panel Drive|INDICATOR 5L128B 8L625|TNMD
Track Maintenance Vehicle 3|Panel Drive|(Attach Level Throttle Minyak, Key start workcar, Button Idel, work semua tu)|TNMD
Track Maintenance Vehicle 3|Panel Trailer|KOINOX NF25-S3 ( SELECTOR SWITCH )|TNMD
Track Maintenance Vehicle 3|Panel Trailer|KOINOX NF30-BM3C ( PUSH BUTTON )|TNMD
Track Maintenance Vehicle 3|Panel Trailer|KOINOX NF25-S2 ( SELECTOR SWITCH )|TNMD
Track Maintenance Vehicle 3|Panel Trailer|DWT - 6216 ( TOGGLE SWITCH )|TNMD
Track Maintenance Vehicle 3|Panel Trailer|KC-24D-3103 ( SELECTOR SWITCH )|TNMD
Track Maintenance Vehicle 3|Panel Trailer|MRA-ARIDOR KTL-SU02033-14004E (EMG BUTTON)|TNMD
Track Maintenance Vehicle 3|Panel Trailer|KOINOX KH-3081EB (HORN)|TNMD
Track Maintenance Vehicle 3|Brake System|Type DB-3020 AFS|TNMD
Track Maintenance Vehicle 3|Crane|SCHNEIDER ELECTRIC ZBE-101|TNMD
Track Maintenance Vehicle 3|Crane|HETRONIC M5-00068|TNMD
Track Maintenance Vehicle 3|Crane|HOOK EZ1598|TNMD
Track Maintenance Vehicle 3|Crane|PALFINGER PK15500|TNMD
Track Maintenance Vehicle 3|Outrigger|VERTICAL|TNMD
Track Maintenance Vehicle 3|Outrigger|HORIZONTAL|TNMD
Track Maintenance Vehicle 3|Outrigger|SENSOR AUTONICS PRDL18-14DP|TNMD
Track Maintenance Vehicle 1|Battery|Brand: Centrury 12V CMBW 002627832|TNMD
Track Maintenance Vehicle 1|Brake System|All Parts Brake System|TNMD
Track Maintenance Vehicle 1|Electrical Appliance|EPS MOULDED CASE CIRCUIT BREAKER HM1-100 100A|TNMD
Track Maintenance Vehicle 1|Electrical Appliance|ABB S203 C50|TNMD
Track Maintenance Vehicle 1|Electrical Appliance|MAX GUARD MB63-1 C32|TNMD
Track Maintenance Vehicle 1|Electrical Appliance|FG NFIN 63/0.3|TNMD
Track Maintenance Vehicle 1|Electrical Appliance|ABL SURSUM C6 1C 5.0M|TNMD
Track Maintenance Vehicle 1|Electrical Appliance|ABB SH 201 C6|TNMD
Track Maintenance Vehicle 1|Electrical Appliance|MAX GUARD MB63-1 C20|TNMD
Track Maintenance Vehicle 1|Electrical Appliance|MAX GUARD MB63-1 C32|TNMD
Track Maintenance Vehicle 1|Electrical Appliance|Schneider iK60N C20A|TNMD
Track Maintenance Vehicle 1|Engine Fuel System|Engine MMV1|TNMD
Track Maintenance Vehicle 1|Engine Fuel System|Starter engine (Attach Model)|TNMD
Track Maintenance Vehicle 1|Engine Fuel System|Alternator engine (Attach Model)|TNMD
Track Maintenance Vehicle 1|Engine Fuel System|Belting Engine MMV1|TNMD
Track Maintenance Vehicle 1|Engine Fuel System|BOSCH Injection Pump Diesel 76530640|TNMD
Track Maintenance Vehicle 1|Engine Fuel System|Oil Filter MMV1|TNMD
Track Maintenance Vehicle 1|Engine Fuel System|Fuel filter engine MMV1 FILTON FF-731|TNMD
Track Maintenance Vehicle 1|Genset|Alternator DENSO 12V 7923-77208|TNMD
Track Maintenance Vehicle 1|Genset|Starter YANMAR 12V WS70-044P|TNMD
Track Maintenance Vehicle 1|Genset|Mikro Earth Leakage Relay S/No. 1187286|TNMD
Track Maintenance Vehicle 1|Genset|Breaker TERAKASI S160-SCF|TNMD
Track Maintenance Vehicle 1|Genset|ABB SH 201 C6|TNMD
Track Maintenance Vehicle 1|Genset|RELAY RCP8 002|TNMD
Track Maintenance Vehicle 1|Genset|MAX SZ22-C401 (Attach Model)|TNMD
Track Maintenance Vehicle 1|Genset|MULTITEK LA22D (Attach Model)|TNMD
Track Maintenance Vehicle 1|Genset|EN 515000 (Attach Model)|TNMD
Track Maintenance Vehicle 1|Genset|AMICO AB2-102 (Attach Model)|TNMD
Track Maintenance Vehicle 1|Genset|WATERPUMP SPEC: CYED 1309|TNMD
Track Maintenance Vehicle 1|Genset|BATTERY AMARON AGG2223|TNMD
Track Maintenance Vehicle 1|Genset|OIL FITER LE PPON OT-10403 F-7219|TNMD
Track Maintenance Vehicle 1|Genset|AIR FILTER|TNMD
Track Maintenance Vehicle 1|Genset|AC GENERATOR SERIAL NO. MDM04110 TYPE MJB 160 MA4|TNMD
Track Maintenance Vehicle 1|Genset|BELTING BANDO FAN BELT A-47.5|TNMD
Track Maintenance Vehicle 1|Guide Wheel|APACHI 4.00-8 RIM3.00 Nut 8x8|TNMD
Track Maintenance Vehicle 1|Hydraulic Pump|SAUER DANFOSS Serial: No. SK 21379871 CONTROL VALVE HYDRAULIC|TNMD
Track Maintenance Vehicle 1|Hydraulic Pump|THROTTLE CONTROL FLEXBALL|TNMD
Track Maintenance Vehicle 1|Hydraulic Pump|PRESSURE GEAR HIGH AND LOW|TNMD
Track Maintenance Vehicle 1|Hydraulic Pump|HYDRAULIC MOTER OMTS 160|TNMD
Track Maintenance Vehicle 1|Hydraulic Pump|Terminal Block Hydraulic|TNMD
Track Maintenance Vehicle 1|Hydraulic Pump|Flow Tank Hydraulic|TNMD
Track Maintenance Vehicle 1|Hydraulic Pump|Traction Axel Hydraulic|TNMD
Track Maintenance Vehicle 1|Hydraulic Pump|Cooller Fan Hydraulic 3 Fan (Attach Model)|TNMD
Track Maintenance Vehicle 1|Hydraulic Pump|Tank Hydraulic|TNMD
Track Maintenance Vehicle 1|Hydraulic Pump|INDUCTION MOTOR FAN HYDRAULIC SERIAL NO. 070760|TNMD
Track Maintenance Vehicle 1|Load Wheel|APACHI 6.00-9 RIM4.00 Nut 8x8|TNMD
Track Maintenance Vehicle 1|Vehicle Body|Seat Workcar|TNMD
Track Maintenance Vehicle 1|Vehicle Body|TRACK MAINTENANCE VEHICLE material: Steel and Aluminum Alloy|TNMD
Track Maintenance Vehicle 1|Vehicle Body|TRAILER material: Steel and Aluminum Alloy|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|SHINOHAWA MY4N|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|IEC 60947-3 (Attach Model)|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|IDEC AVW W65 (Attach Model)|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|IDEC ASW 0201 (Attach Model)|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|IDEC RU4S-D24|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|IDEC RJ2S-CL|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|HBR RMIA21024VDC|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|Schneider Electric Harmony timing relay RM35 I0 33MB|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|TYPE : LM4201TADDK MODEL : PFXLM4201TADDK|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|Tmax T1G T60|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|ABB SH203L|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|ABB SH201L|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|ABB S201M|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|ABB F20C AC|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|S/M MZ-16605|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|MOELLER PLHT-PHLT C100/2|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|PLHT-C100/2|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|YW-EM4 60830 (Attach Model)|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|ML 52621|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|ET-7060|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|AR22 JR (Attach Model)|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|Multi9 C60 C32|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|Multi9 C60 C20|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|Hager MT 110A B10|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|LS BKN C20|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|ABB FH204 AC|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|Nader NDM1-63 C32|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|ABB SH 201 L C20|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|VISOINTECH KST-35N (Attach Model & Gmbr Brg)|TNMD
Track Maintenance Vehicle 2|Electrical Appliance|THROTTLE PANEL RT100-T-P1(10K)-02(89)-HD15 (Attach Model & Gmbr Brg)|TNMD
Track Maintenance Vehicle 2|TMV Genset|Brand: DENSO 8-97358062-1 and 428000-2081|TNMD
Track Maintenance Vehicle 2|TMV Genset|Engine Genset|TNMD
Track Maintenance Vehicle 2|TMV Genset|Alternator (Attach Model)|TNMD
Track Maintenance Vehicle 2|TMV Genset|OSK OIL FILTER O-6746 & 8-94391049-0|TNMD
Track Maintenance Vehicle 2|TMV Genset|OSAKA GENUINE FILTERS 16403-Z7000|TNMD
Track Maintenance Vehicle 2|TMV Genset|BELTING 8972322380CR|TNMD
Track Maintenance Vehicle 2|Motor Drive|Tachometer Nanyang Q/JBQG5 model ZYS 110V|TNMD
Track Maintenance Vehicle 2|Motor Drive|MEGADRIVE type 160-31-Z S/N 4406-23|TNMD
Track Maintenance Vehicle 2|Motor Drive|MOTOR GEARBOX Dinani RA 512 NF CODE: JEQFSO501000000|TNMD
Track Maintenance Vehicle 2|Battery|Brand: Centrury 12V 32B 13W|TNMD
Track Maintenance Vehicle 2|Guide Wheel|GUIDEWHEEL TMV2 AND TRAILER|TNMD
Track Maintenance Vehicle 2|Load Wheel|MMV- CONTINENTAL CSE-ROBUST SC18 200/75-9/6.00 134 A5|TNMD
Track Maintenance Vehicle 2|Load Wheel|TRAILER- BERGOUGNAN 21x8-9|TNMD
Track Maintenance Vehicle 2|Load Wheel|Attach Axle|TNMD
Track Maintenance Vehicle 2|Vehicle Body|TRACK MAINTENANCE VEHICLE material: Steel and Aluminum Alloy|TNMD
Track Maintenance Vehicle 2|Vehicle Body|TRAILER material: Steel and Aluminum Alloy|TNMD
Track Maintenance Vehicle 2|Vehicle Body|Seat Workcar|TNMD
Track Maintenance Vehicle 2|Brake System|All Parts Brake System|TNMD
Track Maintenance Vehicle 2|Hydraulic Pump|CRANE MODEL: MICRO M30A 13 SERIAL NO. 0304-1712 (Gmbr bagi Clear)|TNMD
Track Maintenance Vehicle 2|Hydraulic Pump|OUTRIGGER VERTICAL|TNMD
Track Maintenance Vehicle 2|Hydraulic Pump|OUTRIGGER HORIZONTAL|TNMD
Track Maintenance Vehicle 2|Hydraulic Pump|(Attach Motor Pump Hydraulic)|TNMD
Traverser|Hydraulic|nan|TNMD
Traverser|Beam Carriage|nan|TNMD
Traverser|Tranveser beam|nan|TNMD
Traverser|Electrical Part|nan|TNMD
Overhead Crane 1 & 2|Hoist and travelling system|nan|TNMD
Overhead Crane 1 & 2|Electrical System|nan|TNMD
Overhead Crane 3 & 4|Hoist and travelling system|nan|TNMD
Overhead Crane 3 & 4|Electrical System|nan|TNMD
Pedestal Drill|Vee Belts|nan|TNMD
Pedestal Drill|Pedestal frame|nan|TNMD
Pedestal Drill|Electric Motor|nan|TNMD
Pedestal Grinder|Grinding wheel|Grinding stone 8|TNMD
Pedestal Grinder|Pedestal frame|Steel Frame|TNMD
Pedestal Grinder|Electric Motor|240VAC Single Phase Electric Motor 0.6Hp 480 Watt|TNMD
Pedestal Grinder|Electric Motor|Power switch|TNMD
Compressor 1 & 2|Motor|Siemens (E0270/010755/6 030) (37kW 415V 50Hz) (IEC/EN 60034)|TNMD
Compressor 1 & 2|Screw Compressor|Atlas Copco oil-injected rotary screw air compressor (TYPE : 1613 9665 82) (SN : 20868) (DRWG : 1613 9665 82)|TNMD
Compressor 1 & 2|Screw Compressor|Type: OIS K-26 Part No.: 1616 6512 80 Serial No.: A1A40344499 Manufacturer: AIRTEC|TNMD
Compressor 1 & 2|Hoses|Braided stainless steel hose|TNMD
Compressor 1 & 2|Condenser|nan|TNMD
Compressor 1 & 2|Filter|Atlas Copco oil filter 1613 6105 00|TNMD
Compressor 1 & 2|Filter|Atlas Copco Element Safety Cartridge Part Numbers: 1613 7398 80 and 1613 7407 00 Function: Ensures enhanced air purity in compressed air systems|TNMD
Compressor 1 & 2|Filter|Filter To remove contaminants like liquid water from the compressed air stream.|TNMD
Compressor 1 & 2|Air Dry Unit|Atlas Copco Air Dryer (Type : F140 8102344816) (Serial nr : COX726950) (240 V 1 PHASE 50HZ)|TNMD
Compressor 1 & 2|Electric & Electronic Part|Brand: ABB Model: SACE S1n Poles: 3-pole Rated Current: 125 A Voltage: 500 V AC|TNMD
Compressor 1 & 2|Electric & Electronic Part|Monitor Part nr : 1900 0710 12 Serial nr : 12101612052|TNMD
Compressor 1 & 2|Electric & Electronic Part|Emergency Stop Button Siemens IEC 947-5-1 VDE 0660|TNMD
Compressor 1 & 2|Electric & Electronic Part|Siemens 4am3895-0ar50-0nn2 id nr : 68100272 pri : 400V sec : 230V|TNMD
Compressor 1 & 2|Electric & Electronic Part|1. Contactors 2. Auxillary Contact 3. Motor Starter Protector (Pecahkan Ikut Model & More Detail)|TNMD
Compressor 1 & 2|Electric & Electronic Part|Siemens Part Number: 4AJ4601-0FB Primary Voltage: 230V or 115V Secondary Voltage: 24V Power Rating: 16VA (0.016 kVA)|TNMD
Compressor 1 & 2|Electric & Electronic Part|Siemens Fuse 4A 3NW7 011|TNMD
