system|sub_system|sub_sub_system|root_cause|department
Load Break Switch|Power Indicator Light|Becon light|power supply failure, Cable melting|WS10
Low Voltage|MSB|MCCB|Short circuits, MCCB trip|WS10
Low Voltage|MSB|Capacitor Bank|Loose cable termination, PFR faulty, Cap bank faulty|WS10
Low Voltage|MSB|Automatic Transfer Switch (ATS)|Burn contacts, loose power cable terminations|WS10
Low Voltage|MSB|Current Transformer|Open circuits, CT faulty|WS10
Low Voltage|MSB|Surge Protection Device (SPD)|Loose earth connection, Mulfuction SPD|WS10
Low Voltage|EMSB|MCCB|Short circuits, MCCB trip|WS10
Low Voltage|EMSB|Capacitor Bank|Loose cable termination, PFR faulty, Cap bank faulty|WS10
Low Voltage|EMSB|Automatic Transfer Switch (ATS)|Burn contacts, loose power cable terminations|WS10
Low Voltage|EMSB|Current Transformer|Open circuits, CT faulty|WS10
Low Voltage|EMSB|Surge Protection Device (SPD)|Loose earth connection, Mulfuction SPD|WS10
Low Voltage|Earthing|MCCB|Short circuits, MCCB trip|WS10
Low Voltage|Earthing|Capacitor Bank|Loose cable termination, PFR faulty, Cap bank faulty|WS10
Low Voltage|Earthing|Automatic Transfer Switch (ATS)|Burn contacts, loose power cable terminations|WS10
Low Voltage|Earthing|Current Transformer|Open circuits, CT faulty|WS10
Low Voltage|Earthing|Surge Protection Device (SPD)|Loose earth connection, Mulfuction SPD|WS10
Blue Light System|Blue Light Station|Relay|Relay coil resistance and relay contacts|WS10
Blue Light System|Blue Light Station|MCB|Short circuits, MCB trip|WS10
Blue Light System|Blue Light Station|Terminal Block|loose termination|WS10
Blue Light System|BLRP|Relay|Relay coil resistance and relay contacts|WS10
Blue Light System|BLRP|MCB|Short circuits, MCB trip|WS10
Blue Light System|BLRP|Terminal Block|loose termination|WS10
Blue Light System|Junction Box|Relay|Relay coil resistance and relay contacts|WS10
Blue Light System|Junction Box|MCB|Short circuits, MCB trip|WS10
Blue Light System|Junction Box|Terminal Block|loose termination|WS10
Stinger|Stinger Panel|MCCB Compartment|Short circuits, MCCB trip|WS10
Stinger|Stinger Panel|Stinger Control Circuit|Power supply failure, Protection tripping|WS10
Stinger|Stinger Plug & Soket|MCCB Compartment|Short circuits, MCCB trip|WS10
Stinger|Stinger Plug & Soket|Stinger Plug|Stinger plug & cable gland damage, loose termination|WS10
TPSS|750 VDC Switchgear|Feeder 1|Protection relay faulty, Protection tripping|WS10
TPSS|750 VDC Switchgear|Feeder 2|Protection relay faulty, Protection tripping|WS10
TPSS|750 VDC Switchgear|Feeder 3|Protection relay faulty, Protection tripping|WS10
TPSS|750 VDC Switchgear|Feeder 4|Protection relay faulty, Protection tripping|WS10
TPSS|750 VDC Switchgear|Feeder AARU|Feeder trip, Control supply failure|WS10
TPSS|AARU|Display Panel|Power supply failure|WS10
TPSS|AARU|Power Supply|Power tripping|WS10
TPSS|AARU|AARU Controller|Power supply failure, IGBT faulty|WS10
TPSS|AARU|Resistor Bank|Loose terminal connections, Increase reading|WS10
TPSS|11 kV VCB Switchgear|Circuit Breaker|Breaker trip, Earth fault relay trip, overcurrent trip|WS10
TPSS|11 kV VCB Switchgear|Instrument|Open circuit in CT secondary|WS10
TPSS|11 kV VCB Switchgear|Cable|Cable fault, loose connection|WS10
TPSS|11 kV VCB Switchgear|CT/VT/PT|Protection relay failure, Open circuit, CT/VT/PT fault|WS10
TPSS|2000 kW Rectifier|Control System|Power supply failure, equipment faulty|WS10
TPSS|2000 kW Rectifier|Main Power Conversion|Overcurrent,DC short circuit|WS10
TPSS|2000 kW Rectifier|Control & Instrument Panel|Power supply failure, equipment faulty|WS10
TPSS|110 VDC Charger (Battery System)|Panel 10A/20A|Power supply failure, equipment faulty|WS10
TPSS|110 VDC Charger (Battery System)|Battery 1.2V|Battery faulty|WS10
TPSS|110 VDC Charger (Battery System)|DC Charager|Charger failure / faulty|WS10
PAGS|Door / Panel|Fixed Screen|Sliding door misalign|WS20
PAGS|Door / Panel|Fixed Screen|Sliding door crack|WS20
PAGS|Door / Panel|Fixed Screen|Fixed screen crack|WS20
PAGS|Door / Panel|Body Frame Right|Sliding door misalign|WS20
PAGS|Door / Panel|Body Frame Right|Sliding door crack|WS20
PAGS|Door / Panel|Body Frame Right|Fixed screen crack|WS20
PAGS|Door / Panel|Motorized Sliding Door Right & Tinted|Sliding door misalign|WS20
PAGS|Door / Panel|Motorized Sliding Door Right & Tinted|Sliding door crack|WS20
PAGS|Door / Panel|Motorized Sliding Door Right & Tinted|Fixed screen crack|WS20
PAGS|Door / Panel|Body Frame Left|Sliding door misalign|WS20
PAGS|Door / Panel|Body Frame Left|Sliding door crack|WS20
PAGS|Door / Panel|Body Frame Left|Fixed screen crack|WS20
PAGS|Door / Panel|Motorized Sliding Door Left & Tinted|Sliding door misalign|WS20
PAGS|Door / Panel|Motorized Sliding Door Left & Tinted|Sliding door crack|WS20
PAGS|Door / Panel|Motorized Sliding Door Left & Tinted|Fixed screen crack|WS20
PAGS|(DCU) Door Control Unit|DCU Right|No power from incoming supply|WS20
PAGS|(DCU) Door Control Unit|DCU Right|Door crack|WS20
PAGS|(DCU) Door Control Unit|DCU Right|Door faulty|WS20
PAGS|(DCU) Door Control Unit|DCU Left|No power from incoming supply|WS20
PAGS|(DCU) Door Control Unit|DCU Left|Door crack|WS20
PAGS|(DCU) Door Control Unit|DCU Left|Door faulty|WS20
PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|Power lost due to RCCB tripped|WS20
PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|HMI hang|WS20
PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|No connection on LCU network|WS20
PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|Power supply burst|WS20
PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|MCB issue|WS20
PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|Relay issue|WS20
PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|Selector switch broken|WS20
PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|PLC hang|WS20
PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|Push button broken|WS20
PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|Diode broken|WS20
PAGS|(LCU) Local Control Unit|G1 - DIN rail power supply 90W, 24VDC, 3.8A|Power lost due to RCCB tripped|WS20
PAGS|(LCU) Local Control Unit|G1 - DIN rail power supply 90W, 24VDC, 3.8A|HMI hang|WS20
PAGS|(LCU) Local Control Unit|G1 - DIN rail power supply 90W, 24VDC, 3.8A|No connection on LCU network|WS20
PAGS|(LCU) Local Control Unit|G1 - DIN rail power supply 90W, 24VDC, 3.8A|Power supply burst|WS20
PAGS|(LCU) Local Control Unit|G1 - DIN rail power supply 90W, 24VDC, 3.8A|MCB issue|WS20
PAGS|(LCU) Local Control Unit|G1 - DIN rail power supply 90W, 24VDC, 3.8A|Relay issue|WS20
PAGS|(LCU) Local Control Unit|G1 - DIN rail power supply 90W, 24VDC, 3.8A|Selector switch broken|WS20
PAGS|(LCU) Local Control Unit|G1 - DIN rail power supply 90W, 24VDC, 3.8A|PLC hang|WS20
PAGS|(LCU) Local Control Unit|G1 - DIN rail power supply 90W, 24VDC, 3.8A|Push button broken|WS20
PAGS|(LCU) Local Control Unit|G1 - DIN rail power supply 90W, 24VDC, 3.8A|Diode broken|WS20
PAGS|(LCU) Local Control Unit|Diode redundancy module|Power lost due to RCCB tripped|WS20
PAGS|(LCU) Local Control Unit|Diode redundancy module|HMI hang|WS20
PAGS|(LCU) Local Control Unit|Diode redundancy module|No connection on LCU network|WS20
PAGS|(LCU) Local Control Unit|Diode redundancy module|Power supply burst|WS20
PAGS|(LCU) Local Control Unit|Diode redundancy module|MCB issue|WS20
PAGS|(LCU) Local Control Unit|Diode redundancy module|Relay issue|WS20
PAGS|(LCU) Local Control Unit|Diode redundancy module|Selector switch broken|WS20
PAGS|(LCU) Local Control Unit|Diode redundancy module|PLC hang|WS20
PAGS|(LCU) Local Control Unit|Diode redundancy module|Push button broken|WS20
PAGS|(LCU) Local Control Unit|Diode redundancy module|Diode broken|WS20
PAGS|(LCU) Local Control Unit|Programmable gateway, 24VDC|Power lost due to RCCB tripped|WS20
PAGS|(LCU) Local Control Unit|Programmable gateway, 24VDC|HMI hang|WS20
PAGS|(LCU) Local Control Unit|Programmable gateway, 24VDC|No connection on LCU network|WS20
PAGS|(LCU) Local Control Unit|Programmable gateway, 24VDC|Power supply burst|WS20
PAGS|(LCU) Local Control Unit|Programmable gateway, 24VDC|MCB issue|WS20
PAGS|(LCU) Local Control Unit|Programmable gateway, 24VDC|Relay issue|WS20
PAGS|(LCU) Local Control Unit|Programmable gateway, 24VDC|Selector switch broken|WS20
PAGS|(LCU) Local Control Unit|Programmable gateway, 24VDC|PLC hang|WS20
PAGS|(LCU) Local Control Unit|Programmable gateway, 24VDC|Push button broken|WS20
PAGS|(LCU) Local Control Unit|Programmable gateway, 24VDC|Diode broken|WS20
PAGS|(LCU) Local Control Unit|"10"" Display HMI/PLC"|Power lost due to RCCB tripped|WS20
PAGS|(LCU) Local Control Unit|"10"" Display HMI/PLC"|HMI hang|WS20
PAGS|(LCU) Local Control Unit|"10"" Display HMI/PLC"|No connection on LCU network|WS20
PAGS|(LCU) Local Control Unit|"10"" Display HMI/PLC"|Power supply burst|WS20
PAGS|(LCU) Local Control Unit|"10"" Display HMI/PLC"|MCB issue|WS20
PAGS|(LCU) Local Control Unit|"10"" Display HMI/PLC"|Relay issue|WS20
PAGS|(LCU) Local Control Unit|"10"" Display HMI/PLC"|Selector switch broken|WS20
PAGS|(LCU) Local Control Unit|"10"" Display HMI/PLC"|PLC hang|WS20
PAGS|(LCU) Local Control Unit|"10"" Display HMI/PLC"|Push button broken|WS20
PAGS|(LCU) Local Control Unit|"10"" Display HMI/PLC"|Diode broken|WS20
PAGS|(LCU) Local Control Unit|Fast Industrial Hotspot RLX2|Power lost due to RCCB tripped|WS20
PAGS|(LCU) Local Control Unit|Fast Industrial Hotspot RLX2|HMI hang|WS20
